        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[4][1]| (dB),        arg(S[4][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[4][2]| (dB),        arg(S[4][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.),             |S[4][3]| (dB),        arg(S[4][3]) (deg.),             |S[1][4]| (dB),        arg(S[1][4]) (deg.),             |S[2][4]| (dB),        arg(S[2][4]) (deg.),             |S[3][4]| (dB),        arg(S[3][4]) (deg.),             |S[4][4]| (dB),        arg(S[4][4]) (deg.)
 8.00000000e+01,        -5.222955843953e+00,        +1.576742695227e+02,        -7.478354536041e+00,        -4.850364350038e+01,        -5.721715745624e+00,        -7.975015258073e+01,        -7.465065114390e+00,        -6.236333350830e+01,        -7.478354536041e+00,        -4.850364350038e+01,        -5.226339990589e+00,        +1.576978463596e+02,        -7.462350332776e+00,        -6.234925829193e+01,        -5.719865147846e+00,        -7.975584506997e+01,        -5.721715745624e+00,        -7.975015258073e+01,        -7.462350332776e+00,        -6.234925829193e+01,        -5.222712025512e+00,        +1.576802660423e+02,        -7.480962587028e+00,        -4.849901363938e+01,        -7.465065114390e+00,        -6.236333350830e+01,        -5.719865147846e+00,        -7.975584506997e+01,        -7.480962587028e+00,        -4.849901363938e+01,        -5.223045231865e+00,        +1.576497838852e+02
 8.16000000e+01,        -5.234300814620e+00,        +1.567345645399e+02,        -7.505252478469e+00,        -4.914102468249e+01,        -5.682138912214e+00,        -8.132972586919e+01,        -7.506988166457e+00,        -6.356309898858e+01,        -7.505252478469e+00,        -4.914102468249e+01,        -5.237849315985e+00,        +1.567582173633e+02,        -7.504162187719e+00,        -6.354907272347e+01,        -5.680208862750e+00,        -8.133581348709e+01,        -5.682138912214e+00,        -8.132972586919e+01,        -7.504162187719e+00,        -6.354907272347e+01,        -5.234063099905e+00,        +1.567401708627e+02,        -7.507960260498e+00,        -4.913581362477e+01,        -7.506988166457e+00,        -6.356309898858e+01,        -5.680208862749e+00,        -8.133581348709e+01,        -7.507960260498e+00,        -4.913581362477e+01,        -5.234439789354e+00,        +1.567087881067e+02
 8.32000000e+01,        -5.249125949741e+00,        +1.557739478819e+02,        -7.530196502853e+00,        -4.976249145664e+01,        -5.640808135327e+00,        -8.291538276444e+01,        -7.549504197270e+00,        -6.476726147836e+01,        -7.530196502853e+00,        -4.976249145664e+01,        -5.252847636202e+00,        +1.557976304450e+02,        -7.546564182938e+00,        -6.475330796708e+01,        -5.638796994468e+00,        -8.292188912588e+01,        -5.640808135327e+00,        -8.291538276444e+01,        -7.546564182938e+00,        -6.475330796708e+01,        -5.248895173870e+00,        +1.557791220424e+02,        -7.533003861312e+00,        -4.975665918596e+01,        -7.549504197270e+00,        -6.476726147836e+01,        -5.638796994468e+00,        -8.292188912588e+01,        -7.533003861312e+00,        -4.975665918596e+01,        -5.249319387154e+00,        +1.557468156931e+02
 8.48000000e+01,        -5.267580036053e+00,        +1.547921162256e+02,        -7.553005933403e+00,        -5.036820913272e+01,        -5.597721929097e+00,        -8.450776528984e+01,        -7.592685853418e+00,        -6.597645543413e+01,        -7.553005933403e+00,        -5.036820913272e+01,        -5.271484455677e+00,        +1.548157791148e+02,        -7.589628897148e+00,        -6.596259955736e+01,        -5.595628087867e+00,        -8.451471527238e+01,        -5.597721929097e+00,        -8.450776528984e+01,        -7.589628897148e+00,        -6.596259955736e+01,        -5.267357096722e+00,        +1.547968136165e+02,        -7.555912339800e+00,        -5.036171425139e+01,        -7.592685853418e+00,        -6.597645543413e+01,        -5.595628087867e+00,        -8.451471527238e+01,        -7.555912339800e+00,        -5.036171425139e+01,        -5.267833214703e+00,        +1.547635591610e+02
 8.64000000e+01,        -5.289821453152e+00,        +1.537887314700e+02,        -7.573491862132e+00,        -5.095841170301e+01,        -5.552883409408e+00,        -8.610753385038e+01,        -7.636616513692e+00,        -6.719133010793e+01,        -7.573491862132e+00,        -5.095841170301e+01,        -5.293918938728e+00,        +1.538123219175e+02,        -7.633439635174e+00,        -6.717759789175e+01,        -5.550705300222e+00,        -8.611495365277e+01,        -5.552883409408e+00,        -8.610753385038e+01,        -7.633439635174e+00,        -6.717759789175e+01,        -5.289607317307e+00,        +1.537929046368e+02,        -7.576496376787e+00,        -5.095121154088e+01,        -7.636616513692e+00,        -6.719133010793e+01,        -5.550705300222e+00,        -8.611495365277e+01,        -7.576496376787e+00,        -5.095121154088e+01,        -5.290140097129e+00,        +1.537586759505e+02
 8.80000000e+01,        -5.316019240375e+00,        +1.527634207395e+02,        -7.591457214434e+00,        -5.153341138118e+01,        -5.506300604440e+00,        -8.771536660476e+01,        -7.681391150248e+00,        -6.841254752671e+01,        -7.591457214434e+00,        -5.153341138118e+01,        -5.320320983108e+00,        +1.527868824200e+02,        -7.678091288439e+00,        -6.839896621732e+01,        -5.504036712763e+00,        -8.772328380587e+01,        -5.506300604440e+00,        -8.771536660476e+01,        -7.678091288439e+00,        -6.839896621732e+01,        -5.315814951499e+00,        +1.527670191551e+02,        -7.594558448064e+00,        -5.152546213730e+01,        -7.681391150248e+00,        -6.841254752671e+01,        -5.504036712763e+00,        -8.772328380587e+01,        -7.594558448064e+00,        -5.152546213730e+01,        -5.316409566365e+00,        +1.527317884027e+02
 8.96000000e+01,        -5.346354227042e+00,        +1.517157765013e+02,        -7.606696970256e+00,        -5.209360897473e+01,        -5.457986784085e+00,        -8.933195869786e+01,        -7.727117259671e+00,        -6.964078005804e+01,        -7.606696970256e+00,        -5.209360897473e+01,        -5.350872357782e+00,        +1.517390493084e+02,        -7.723691265288e+00,        -6.962737820509e+01,        -5.455635661167e+00,        -8.934040231585e+01,        -5.457986784085e+00,        -8.933195869786e+01,        -7.723691265288e+00,        -6.962737820509e+01,        -5.346160913125e+00,        +1.517187463181e+02,        -7.609893044958e+00,        -5.208486589525e+01,        -7.727117259671e+00,        -6.964078005804e+01,        -5.455635661167e+00,        -8.934040231585e+01,        -7.609893044958e+00,        -5.208486589525e+01,        -5.346822996163e+00,        +1.516824838479e+02
 9.12000000e+01,        -5.381020233374e+00,        +1.506453567983e+02,        -7.618998571668e+00,        -5.263950504412e+01,        -5.407960808455e+00,        -9.095802132807e+01,        -7.773915868585e+00,        -7.087670749077e+01,        -7.618998571668e+00,        -5.263950504412e+01,        -5.385767912336e+00,        +1.506683766015e+02,        -7.770360495785e+00,        -7.086351504047e+01,        -5.405521085257e+00,        -9.096702187944e+01,        -5.407960808455e+00,        -9.095802132807e+01,        -7.770360495785e+00,        -7.086351504047e+01,        -5.380839115633e+00,        +1.506476405749e+02,        -7.622287081954e+00,        -5.262992264015e+01,        -7.773915868585e+00,        -7.087670749077e+01,        -5.405521085257e+00,        -9.096702187944e+01,        -7.622287081954e+00,        -5.262992264015e+01,        -5.381574808364e+00,        +1.506103148065e+02
 9.28000000e+01,        -5.420225350007e+00,        +1.495516856027e+02,        -7.628142549949e+00,        -5.317171176748e+01,        -5.356247495341e+00,        -9.259428062132e+01,        -7.821922618353e+00,        -7.212101354948e+01,        -7.628142549949e+00,        -5.317171176748e+01,        -5.425216866069e+00,        +1.495743839814e+02,        -7.818234515515e+00,        -7.210806194903e+01,        -5.353717897746e+00,        -9.260387017934e+01,        -5.356247495341e+00,        -9.259428062132e+01,        -7.818234515515e+00,        -7.210806194903e+01,        -5.420057752431e+00,        +1.495532220034e+02,        -7.631520524627e+00,        -5.316124407614e+01,        -7.821922618353e+00,        -7.212101354948e+01,        -5.353717897746e+00,        -9.260387017934e+01,        -7.631520524627e+00,        -5.316124407614e+01,        -5.420873758438e+00,        +1.495147993075e+02
 9.44000000e+01,        -5.464193304715e+00,        +1.484342532941e+02,        -7.633903406994e+00,        -5.369096538877e+01,        -5.302878006001e+00,        -9.424147628050e+01,        -7.871288933258e+00,        -7.337438174967e+01,        -7.633903406994e+00,        -5.369096538877e+01,        -5.469444185540e+00,        +1.484565572465e+02,        -7.867464632794e+00,        -7.336170406471e+01,        -5.300257371415e+00,        -9.425168853250e+01,        -5.302878006001e+00,        -9.424147628050e+01,        -7.867464632794e+00,        -7.336170406471e+01,        -5.464040664524e+00,        +1.484349767559e+02,        -7.637367272844e+00,        -5.367956628037e+01,        -7.871288933258e+00,        -7.337438174967e+01,        -5.300257371415e+00,        -9.425168853250e+01,        -7.637367272844e+00,        -5.367956628037e+01,        -5.464944308978e+00,        +1.483954213259e+02
